Date,Muscle Group,Workout,Weight,Reps
11/9,Legs,Squat,135,8
11/9,Legs,Squat,185,8
11/9,Legs,Squat,225,8
11/9,Legs,Squat,245,8
11/9,Legs,Squat,245,6
,,,,
11/9,Legs,Leg Extension,140,11
11/9,Legs,Leg Extension,155,10
11/9,Legs,Leg Extension,155,11
,,,,
11/9,Legs,Leg Curl,160,8
11/9,Legs,Leg Curl,160,8
11/9,Legs,Leg Curl,160,7
,,,,
11/9,Legs,Hip Abductor,130,9
11/9,Legs,Hip Abductor,130,10
,,,,
11/10,Chest,Bench Press,135,12
11/10,Chest,Bench Press,185,9
11/10,Chest,Bench Press,195,7
11/10,Chest,Bench Press,185,8
,,,,
11/10,Back,Lat Pulldown,145,11
11/10,Back,Lat Pulldown,145,9
11/10,Back,Lat Pulldown,145,7
,,,,
11/10,Back,Underhand Pulldown,145,10
11/10,Back,Underhand Pulldown,145,9
11/10,Back,Underhand Pulldown,130,10
,,,,
11/10,Chest,Cable Fly,80,13
11/10,Chest,Cable Fly,90,10
11/10,Chest,Cable Fly,90,9
,,,,
11/10,Back,Low Row,135,12
11/10,Back,Low Row,150,9
11/10,Back,Low Row ,150,10
,,,,
11/10,Chest,Dips,170,12
11/10,Chest,Dips,170,12
11/10,Chest,Dips,170,13
,,,,
11/10,Back,Iso Lat Pulldown,135,10
11/10,Back,Iso Lat Pulldown,135,11
11/10,Back,Iso Lat Pulldown,135,10
,,,,
11/10,Abs,Crunch Machine,155,11
11/10,Abs,Crunch Machine,155,10
11/10,Abs,Crunch Machine,155,10
,,,,
11/10,Abs,Twist Machine,170,11
11/10,Abs,Twist Machine,170,10
11/10,Abs,Twist Machine,170,11
,,,,
11/11,Bicep,Cable Curl,60,8
11/11,Bicep,Cable Curl,60,8
11/11,Bicep,Cable Curl,50,8
,,,,
11/11,Tricep,Iso Cable Pull,50,9
11/11,Tricep,Iso Cable Pull,50,8
11/11,Tricep,Iso Cable Pull,50,8
,,,,
11/11,Shoulders ,R Delt Fly,20,8
11/11,Shoulders ,R Delt Fly,20,8
11/11,Shoulders ,R Delt Fly,10,12
11/11,Shoulders ,R Delt Fly,10,12
,,,,
11/11,Bicep ,Preacher Ez Curl,60,12
11/11,Bicep ,Preacher Ez Curl,70,8
11/11,Bicep ,Preacher Ez Curl,70,8
11/11,Bicep ,Preacher Ez Curl,70,8
,,,,
11/11,Tricep,Rope Pull,110,11
11/11,Tricep,Rope Pull,120,8
11/11,Tricep,Rope Pull,120,8
,,,,
11/11,Shoulder ,Smith Shoulder Press,135,9
11/11,Shoulder ,Smith Shoulder Press,135,8
11/11,Shoulder ,Smith Shoulder Press,135,8
,,,,
11/11,Abs,Crunch Machine,155,12
11/11,Abs,Crunch Machine,170,11
11/11,Abs,Crunch Machine,170,11
,,,,
11/11,Abs,Twist Machine,170,11
11/11,Abs,Twist Machine,170,11
11/11,Abs,Twist Machine,170,10
,,,,
11/12,Legs,Squat,135,8
11/12,Legs,Squat,185,8
11/12,Legs,Squat,225,8
11/12,Legs,Squat,245,8
11/12,Legs,Squat,245,7
11/12,Legs,Squat,245,7
,,,,
11/12,Legs,Leg Curl,160,9
11/12,Legs,Leg Curl,160,11
11/12,Legs,Leg Curl,160,11
,,,,
11/12,Legs,Leg Extension,160,9
11/12,Legs,Leg Extension,160,11
11/12,Legs,Leg Extension,160,11
,,,,
11/12,Legs,Calf Raise,130,14
11/12,Legs,Calf Raise,135,13
11/12,Legs,Calf Raise,140,11
,,,,
11/12,Legs,Hip Abductor,130,11
11/12,Legs,Hip Abductor,145,10
11/12,Legs,Hip Abductor,130,10
,,,,
11/14,Chest,Bench,135,12
11/14,Chest,Bench,185,9
11/14,Chest,Bench,195,8
11/14,Chest,Bench,185,8
,,,,
11/14,Back,Lat Pulldown,160,10
11/14,Back,Lat Pulldown,160,7
11/14,Back,Lat Pulldown,145,8
,,,,
11/14,Back,Underhand Pulldown,160,10
11/14,Back,Underhand Pulldown,160,8
11/14,Back,Underhand Pulldown,145,8
,,,,
11/14,Chest,Dips,170,17
11/14,Chest,Dips,170,14
11/14,Chest,Dips,170,12
,,,,
11/14,Back,Low Row,150,10
11/14,Back,Low Row,150,9
11/14,Back,Low Row,150,8
,,,,
11/14,Chest,Cable Fly,90,10
11/14,Chest,Cable Fly,90,9
11/14,Chest,Cable Fly,90,9
,,,,
11/14,Abs,Crunch Machine,170,10
11/14,Abs,Crunch Machine,170,10
,,,,
11/14,Abs,Twist Machine,170,10
11/14,Abs,Twist Machine,170,10